Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition,Timestamp,Price Category,Latitude,Longitude
06-10-2022,06-10-2022,6:35 PM,Petty Theft of Micro Mobility Device,Warren Apartments,2022‐1023,"Stolen electric scooter, loss $529.98",Report Taken,2022-06-10 18:35:00,Expensive,32.8822443,-117.2341198
6/16/2022,6/16/2022,4:20 PM ‐ 4:43 PM,Grand Theft of Micro Mobility Device,One Miramar Street,2022‐1063,"Stolen electric skateboard, loss $1,500.00",Report Taken,2022-06-16 16:43:00,Medium,32.8737372,-117.2268607
6/21/2022,6/21/2022,8:57 AM,Petty Theft,Trolley ‐ Central Campus Stop,2206210024,Reporting party observed male steal tire from bicycle,Gone On Arrival,2022-06-21 08:57:00,Medium,,
6/21/2022,6/21/2022,10:25 AM,Petty Theft,Canyon View Aquatic & Climbing Wall Facility,2206210035,Reporting party observed male steal basket from bike and place it on his bike,Gone On Arrival,2022-06-21 10:25:00,Low,32.8805864,-117.2318744
6/22/2022,6/22/2022,7:30 pm ‐ 9:00 pm,Petty Theft ‐ Micro Mobility Device,RIMAC Bike Racks,T22000201,"Electric scooter, Loss $699.00",Online Report,2022-06-22 21:00:00,Expensive,,
6/27/2022,6/25/2022 ‐ 6/27/2022,9:30 PM ‐ 7:50 AM,Petty Theft of Micro Mobility Device,7th College,2022‐1126,"Unknown suspect(s) took victim's electric scooter from bike rack, loss $350.00",Report Taken,2022-06-27 21:30:00,Medium,,
6/27/2022,6/20/2022 ‐ 6/27/2022,11:00 AM‐12:00 PM,Grand Theft of Micro Mobility Device,Europe & Asia Hall Bike Rack,2022‐1129,"Stolen electric bicycle, loss $1500.00",Report Taken,2022-06-27 12:00:00,Expensive,,
6/29/2022,6/29/2022,3:10 PM ‐ 5:00 PM,Petty Theft of Micro Mobility Device,EDU II & Literature Building,2022‐1141,"Stolen electric bicycle, loss $399.00",Service Provided,2022-06-29 17:00:00,Medium,,
07-07-2022,07-07-2022,9:30 AM ‐ 11:00 AM,Petty Theft of Micro Mobility Device,Central Hall,T22000209,"Stolen electric scooter, loss $700.00",Online Report,2022-07-07 11:00:00,Expensive,32.8778021,-117.2372517
07-08-2022,07-08-2022,9:002 am ‐ 11:00 am,Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,2022‐1180,"Electric scooter, loss $700.00",Report Taken,2022-07-08 11:00:00,Expensive,32.8800218,-117.2329402
07-11-2022,07-11-2022,1:28 PM,Petty Theft,NTPLL ‐ Mosaic,2207110027,Reporting party called to report missing bicycle,Gone On Arrival,2022-07-11 13:28:00,Medium,32.8799202,-117.2419202
7/13/2022,7/13/2022,5:58 PM,Petty Theft ‐ Micro Mobility Device,Biomedical Research Facility II,2207130033,"Electric scooter, loss $400.00",Report Taken,2022-07-13 17:58:00,Medium,32.8744664,-117.2349451
7/14/2022,7/13/2022 ‐ 7/14/2022,10:00 pm ‐ 10:00 am,Petty Theft ‐ Bicycle Part,Gilman Dr / Myers Bike Rack,2022‐1199,"Unknown suspect(s) stole front tire from victim's bicycle, loss $100.00",Online Report,2022-07-14 22:00:00,Medium,32.8648237,-117.2364128
7/18/2022,7/18/2022,7:00 AM ‐ 11:00 AM,Grand Theft of Micro Mobility Device,Molli and Arthur Wagner Dance Building,2022‐1205,"Stolen electric bicycle, loss $1,200.00",Report Taken,2022-07-18 11:00:00,Medium,32.871811,-117.2400632
7/21/2022,7/20/2022 ‐ 7/21/2022,8:46 AM,Petty Theft of Micro Mobility Device,Central Mesa Apartments,2022‐1216,"Stolen electric scooter and electric bicycle, loss $2,300.00",Report Taken,2022-07-21 08:46:00,Medium,32.87382780000001,-117.2215649
7/21/2022,7/21/2022,9:34 PM,Petty Theft of Micro Mobility Device,Warren Lecture Hall,2022‐1219,"Stolen electric scooter, loss $200.00",Report Taken,2022-07-21 21:34:00,Medium,32.8805918,-117.2344208
7/23/2022,7/22/2022 ‐ 7/23/2022,12:45 PM,Petty Theft,Seventh College,2022‐1225,"Unknown suspect(S) removed the victim's bicycle seat, loss $60.00",Report Taken,2022-07-23 12:45:00,Low,32.8879708,-117.2421264
7/24/2022,7/22/2022 ‐ 7/24/2022,10:00 am ‐ 1:00 am,Grand Theft ‐ Micro Mobility Device,Tuolumne Apts ‐ S House North,2022‐1228,"Electric bike, Loss $1,500.00",Disposition Report Taken,2022-07-24 10:00:00,Medium,32.8784078,-117.2431771
7/24/2022,7/24/2022,5:36 PM,Petty Theft,Geisel Library,2207240036,Reporting party observed unknown male attempting to cut lock off scooter,Unable To Locate,2022-07-24 17:36:00,Medium,32.881092,-117.2375659
7/26/2022,7/26/2022,Unknown,Petty Theft ‐ Bicycle,Warren Apts ‐ Goldberg,2207260061,Via 911; reporting party advised on options to report bike theft,Logged Event,2022-07-26 00:00:00,Low,,
7/28/2022,7/28/2022,3:00 pm ‐ 5:00 pm,Petty Theft,Geisel Library ‐ Bike Rack,T22000220,"Unknown suspect(s) stole victim's bike helmet, loss $150.00",Online Report,2022-07-28 17:00:00,Medium,32.881092,-117.2375659
7/28/2022,7/28/2022,5:00 pm ‐ 7:00 pm,Petty Theft ‐ Micro Mobility Device,Center Hall ‐ Bike Rack,T22000221,"Electric scooter, loss $250.00",Online Report,2022-07-28 19:00:00,Medium,32.8778021,-117.2372517
7/30/2022,7/30/2022,2:13 PM,Petty Theft ‐ Bicycle,South Mesa Apts,2207300024,"Unknown suspect(s) stole victim's bike, will file online police report at later time",Information Only,2022-07-30 14:13:00,Low,,
7/30/2022,7/30/2022,11:10 am ‐ 4:00 pm,Petty Theft ‐ Micro Mobility Device,UCSD Book Store,2022‐1258,"Electric scooter, loss $700.00",Report Taken,2022-07-30 16:00:00,Expensive,32.8794408,-117.2369353
08-02-2022,08-02-2022,10:45 AM ‐ 1:50 PM,Petty Theft ‐ Bicycle,Warren Mall,2022‐1275,"Secured bicycle stolen, loss $800.00",Report Taken,2022-08-02 13:50:00,Expensive,32.881153,-117.2348495
08-05-2022,08-05-2022,10:38 AM,Grand Theft ‐ Bicycle,Seventh College West,2022‐1286,"Secured bicycle stolen, loss $1,000.00",Report Taken,2022-08-05 10:38:00,Medium,32.8880662,-117.2425365
08-06-2022,8/5/2022 ‐ 8/6/2022,8:30 PM ‐ 6:30 PM,Petty Theft ‐ Bicycle,Mesa Nueva Arena ‐ 2nd Floor Bike Rack,2022‐1296,"Secured bicycle stolen, loss $650.00",Online Report,2022-08-06 20:30:00,Expensive,32.8747057,-117.2228857
08-07-2022,08-07-2022,8:05 PM,Petty Theft ‐ Bicycle,Central Mesa Apts ‐ Bike Rack,2208070054,"Unknown suspect(s) stole victim's locked bike, loss $400.00, no report desired",Information Only,2022-08-07 20:05:00,Medium,,
08-09-2022,8/8/2022 ‐ 8/9/2022,11:30 am ‐ 10:30 am,Petty Theft,South Mesa Apts ‐ Bike Rack,2022‐1308,"Unknown suspect(s) stole victim's bag off bike, loss $106.00",Online Report,2022-08-09 11:30:00,Medium,,
08-09-2022,08-09-2022,6:30 pm ‐ 8:00 pm,Petty Theft,Trolley ‐ Central Campus Stop,2022‐1309,"Via 911, caller reporting stolen bike, referred to non‐emergency number",Report Taken,2022-08-09 20:00:00,Low,,
08-11-2022,08-11-2022,5:10 am ‐ 6:30 am,Petty Theft ‐ Micro Mobility Device,Pangea Parking Structure,2022‐1316,"Electric bicycle, loss $549.00",Report Taken,2022-08-11 06:30:00,Expensive,32.8842556,-117.2431062
08-11-2022,8/10/2022 ‐ 8/11/2022,6:00 pm ‐ 6:30 am,Petty Theft ‐ Micro Mobility Device,UC San Diego Bookstore,2022‐1321,"Electric scooter, loss $868.98",Online Report,2022-08-11 18:00:00,Expensive,32.8794408,-117.2369353
8/15/2022,8/15/2022,12:30 PM ‐ 2:00 PM,Petty Theft of Micro Mobility Device,Regents Rd,T22000230,"Stolen electric scooter, loss $500.00",Online Report,2022-08-15 14:00:00,Medium,32.8552295,-117.2176209
8/15/2022,8/15/2022,12:25 PM ‐ 1:50 PM,Petty Theft of Micro Mobility Device,UCSD Police Department,2022‐1337,"Stolen electric scooter, loss $600.00",Report Taken,2022-08-15 13:50:00,Expensive,32.8826508,-117.2296864
8/16/2022,8/14/2022 ‐ 8/16/2022,5:00 PM ‐ 5:00 PM,Petty Theft ‐ Bicycle,Regents Road,T22000231,"Secured bicycle stolen, loss $900.00",Online Report,2022-08-16 17:00:00,Expensive,32.8552295,-117.2176209
8/19/2022,8/19/2022,6:00 am ‐ 7:30 am,Grand Theft ‐ Micro Mobility Device,Café Ventanas Loading Dock,2022‐1357,"Electric Bicycle, Loss $2,000.00",Report Taken,2022-08-19 07:30:00,Medium,32.8860312,-117.242574
8/20/2022,8/20/2022,4:49 PM,Grand Theft of Micro Mobility Device,Biomedical Sciences Building,2022‐1362,"Electric bicycle stolen, loss $2,349.00",Report Taken,2022-08-20 16:49:00,Medium,32.8765264,-117.2361206
8/23/2022,8/23/2022,7:30 am ‐ 5:20 pm,Grand Theft ‐ Micro Mobility Device,Stein Clinical Research Bldg,2022‐1384,"Electric bicycle, Loss $1,500.00",Report Taken,2022-08-23 17:20:00,Medium,32.8968497,-117.2424287
8/25/2022,8/25/2022,9:30 am ‐ 1:45 pm,Grand Theft ‐ Micro Mobility Device,Sequoyah Hall,2022‐1396,"Electric bicycle, loss $1,200.00",Report Taken,2022-08-25 13:45:00,Medium,32.8821398,-117.2405491
8/25/2022,8/22/2022,1:10 PM,Petty Theft ‐ Micro Mobility Device,South Side of Price Center,2022‐1395,"Electric bicycle, loss $350.00",Online Report,2022-08-22 13:10:00,Medium,32.8797205,-117.2361952
8/25/2022,8/25/2022,2:00 pm ‐ 5:00 pm,Petty Theft ‐ Micro Mobility Device,Rec Gym ‐ Bike Rack,T22000237,"Electric Scooter, loss $500.00",Online Report,2022-08-25 17:00:00,Medium,,
8/26/2022,8/24/2022 ‐ 8/26/2022,1:10 PM ‐ 1:10 PM,Petty Theft ‐ Bicycle,Nuevo East,2022‐1409,"Stolen secured bicycle, loss $400.00",Online Report,2022-08-26 13:10:00,Medium,32.8746042,-117.2186842
8/26/2022,8/26/2022,6:29 PM,Petty Theft,EBU1,2208260060,Subject attempted to steal scooter,Unable to Locate,2022-08-26 18:29:00,Medium,32.8820551,-117.2354243
8/27/2022,8/27/2022,1:00 am ‐ 9:00 am,Grand Theft ‐ Micro Mobility Device,South Mesa Apts,2022‐1402,"Electric bicycle, loss $1,200.00",Report Taken,2022-08-27 09:00:00,Medium,,
8/28/2022,8/28/2022,7:00 AM ‐ 10:30 AM,Petty Theft of Micro Mobility Device,Lecture Hall,2022‐1411,"Stolen secured electric scooter, loss 700.00",Report Taken,2022-08-28 10:30:00,Medium,,
8/28/2022,8/28/2022,6:25 PM,Petty Theft ‐ Bicycle,One Miramar Street,2022‐1413,"Stolen unsecured bicycle, loss $400.00",Stay Away Order,2022-08-28 18:25:00,Medium,32.8737372,-117.2268607
09-06-2022,6/30/2022,8:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1463,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 20:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1467,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1466,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1465,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1469,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1468,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,7/25/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1471,"Electric scooter, loss $1,004.00",Report Taken,2022-07-25 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1470,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,07-01-2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1464,"Electric scooter, loss $1,004.00",Report Taken,2022-07-01 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1461,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1462,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,09-06-2022,9:07 PM,Petty Theft,Mesa Nueva ‐ Arena,2209060065,Reporting party hears grinder cutting at bike racks,Unfounded,2022-09-06 21:07:00,Low,32.8747057,-117.2228857
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1467,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1466,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1465,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1469,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1468,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1471,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-06-2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1470,"Electric scooter, loss $1,004.00",Report Taken,2022-06-30 21:00:00,Medium,32.878797,-117.230439
09-12-2022,9/1/2022 ‐ 9/12/2022,5:30 AM ‐ 8:50 PM,Petty Theft ‐ Bicycle,Europe Hall / Asia Hall,T22000247,"Secured bicycle stolen, loss $350.00",Online Report,2022-09-12 20:50:00,Medium,32.8854422,-117.2434779
9/15/2022,9/14/2022 ‐ 9/15/2022,6:40 AM ‐ 8:00 AM,Petty Theft ‐ Bicycle,Matthews Apartments,T22000248,"Secure bicycle stolen, loss $300.00",Online Report,2022-09-15 08:00:00,Medium,32.878646,-117.2310505
9/16/2022,9/16/2022,11:42 am ‐ 12:23 pm,Petty Theft,Warren Apts ‐ Douglas Hall,2022‐1520,Report of non‐affiliated male attempting to steal bicycle,Stay Away Order Issued,2022-09-16 12:23:00,Medium,32.8832565,-117.232967
9/17/2022,9/17/2022,12:04 PM,Grand Theft ‐ Bicycle,Tioga Hall,2022‐1524,"Secured bicycle stolen, loss $1,242.00",Report Taken,2022-09-17 12:04:00,Medium,32.8790439,-117.2433669
9/17/2022,9/17/2022,1:06 PM,Grand Theft ‐ Bicycle,Trolley ‐ Central Campus Stop,2022‐1526,"Unsecured bicycle stolen, loss $1,200.00",Report Taken,2022-09-17 13:06:00,Medium,,
9/17/2022,9/15/2022 ‐9/17/2022,9:00 PM ‐ 5:00 PM,Petty Theft ‐ Bicycle,Scholars Dr North,2022‐1527,"Secured bicycle stolen, loss $220.00",Report Taken,2022-09-17 21:00:00,Medium,32.8842874,-117.2424066
9/17/2022,9/17/2022,7:13 PM,Petty Theft of Micro Mobility Device,RIMAC,2022‐1528,"Stolen electric scooter, loss $558.00",Report Taken,2022-09-17 19:13:00,Expensive,32.8851041,-117.2404977
9/19/2022,9/18/2022 ‐ 9/19/2022,10:30 pm ‐ 11:00 am,Petty Theft ‐ Micro Mobility Device,Marshall Upper Apts M,2022‐1543,"Electric scooter, loss $430.00",Report Taken,2022-09-19 22:30:00,Medium,32.8833158,-117.2417072
9/20/2022,9/20/2022,5:26 PM,Petty Theft,Pepper Canyon Apts,2209200081,Male attempting to brake bike lock with rocks,Gone On Arrival,2022-09-20 17:26:00,Low,32.8775872,-117.2306142
9/22/2022,9/21/2022,3:00 pm ‐ 10:30 pm,Petty Theft ‐ Micro Mobility Device,7th College West Bldg 3,2022‐1573,"Electric scooter, loss $799.00",Online Report,2022-09-21 22:30:00,Expensive,,
9/22/2022,9/22/2022,6:30 pm ‐ 7:30 pm,Grand Theft ‐ Micro Mobility Device,Center Hall,2022‐1573,"Electric bicycle, loss $1,500.00",Report Taken,2022-09-22 19:30:00,Medium,32.8775468,-117.2374084
9/23/2022,9/22/2022 ‐ 9/23/2022,6:00 PM ‐ 6:00 AM,Theft ‐ Bicycle,Village East Building,2022‐1585,"Secured bicycle stolen, loss $200.00",Online Report,2022-09-23 18:00:00,Medium,,
9/24/2022,9/24/2022,2:00 AM ‐ 12:00 PM,Petty Theft ‐ Bicycle,Galathea Bike,2022‐1604,"Secured bicycle stolen, loss $627.00",Online Report,2022-09-24 12:00:00,Expensive,32.87384910000001,-117.2416525
9/26/2022,9/26/2022,12:03 AM,Petty Theft,Trolley ‐ Central Campus Stop,2022‐1612,Report of male seen riding bicycle while holding an electric scooter,Citation Issued,2022-09-26 00:03:00,Medium,,
9/26/2022,9/25/2022 ‐ 9/26/2022,7:00 PM ‐ 10:15 PM,Grand Theft ‐ Bicycle,UCSD Police Department,2022‐1615,"Secured bicycle stolen, loss $1,000.00",Report Taken,2022-09-26 22:15:00,Medium,32.8826508,-117.2296864
9/26/2022,9/21/2022 ‐ 9/22/2022,8:50 PM ‐ 7:40 AM,Petty Theft ‐ Bicycle,7th College Building,2022‐1617,"Secured bicycle stolen, loss $300.00",Report Taken,2022-09-22 20:50:00,Medium,,
9/26/2022,9/26/2022,8:35 PM,Petty Theft ‐ Bicycle,Tenaya Hall,2022‐1621,"Secured bicycle stolen, loss $450.00",Online Report,2022-09-26 20:35:00,Medium,32.8794203,-117.2428555
9/27/2022,9/23/2022,9:00 AM ‐ 7:00 PM,Petty Theft ‐ Bicycle,EBU2,2022‐1626,"Secured bicycle stolen, loss $800.00",Online Report,2022-09-23 19:00:00,Expensive,32.8811569,-117.2330257
9/27/2022,9/19/2022 ‐ 9/20/2022,12:00 AM ‐ 12:00 PM,Petty Theft of Micro Mobility Device,Innovation Lane,2022‐1630,"Stolen secured electric scooter, loss $649.00",Online Report,2022-09-20 12:00:00,Expensive,32.8792475,-117.2316562
9/27/2022,9/19/2022 ‐ 9/20/2022,12:00 AM ‐ 12:00 PM,Petty Theft of Micro Mobility Device,Sixth College,2022‐1630,"Stolen electric scooter , loss $649.00",Report Taken,2022-09-20 12:00:00,Expensive,32.8807011,-117.2420455
9/28/2022,9/28/2022,12:00 PM ‐ 12:30 PM,Petty Theft ‐ Bicycle,Galathea Hall,2022‐1640,"Secured bicycle stolen, loss $500.00",Online Report,2022-09-28 12:30:00,Medium,32.8738934,-117.2416565
9/28/2022,9/28/2022,4:00 PM ‐ 7:00 PM,Petty Theft of Micro Mobility Device,EBU2,2022‐1642,"Electric scooter, loss $400.00",Online Report,2022-09-28 19:00:00,Medium,32.8811569,-117.2330257
9/28/2022,9/28/2022,10:00 AM ‐ 1:00 PM,Grand Theft,UCSD Central Campus Trolley Stop,2022‐1641,"Secured stolen bicycle, loss $1,200.00",Online Report,2022-09-28 13:00:00,Medium,32.878353,-117.231842
9/28/2022,9/28/2022,8:30 PM ‐ 10:00 PM,Petty Theft of Micro Mobility Device,Center Hall,2022‐1639,"Stolen electric bicycle, loss $249.99",Report Taken,2022-09-28 22:00:00,Medium,32.8775468,-117.2374084
9/29/2022,9/29/2022,4:00 PM ‐ 7:00 PM,Petty Theft of Micro Mobility Device,EBU2,2022‐1642,"Stolen secured electric scooter, loss $400.00",Online Report,2022-09-29 19:00:00,Medium,32.8811569,-117.2330257
9/29/2022,9/28/2022,12:00 PM ‐ 12:30 PM,Petty Theft of Micro Mobility Device,Galbraith Hall,2022‐1640,"Stolen electric bicycle and lock, loss $501.00",Report Taken,2022-09-28 12:30:00,Expensive,32.8737102,-117.2409723
9/29/2022,9/28/2022,10:00 AM ‐ 1:00 PM,Grand Theft ‐ Bicycle,Trolley ‐ Central Campus Stop,2022‐1641,"Stolen secured bicycle, loss $1,201.00",Disposition Online Report,2022-09-28 13:00:00,Medium,,
9/29/2022,9/28/2022,9:30 AM ‐ 1:00 PM,Grant Theft ‐ Bicycle,Design and Innovation Bldg.,2022‐1649,"Secured bicycle stolen, loss $1,200.00",Report Taken,2022-09-28 13:00:00,Medium,32.8794117,-117.2322377
9/29/2022,9/29/2022,3:15 PM,Grand Theft of Micro Mobility Device,Voigt Dr,2022‐1650,"Stolen electric bicycle, loss $1,500.00",Report Taken,2022-09-29 15:15:00,Medium,32.8811362,-117.2295642
01-05-2023,01-05-2023,6:40 AM ‐ 12:30 PM,Petty Theft ‐ Bicycle,UCSD Campus Central Station,T23000002,"Secured bicycle stolen, loss $250.00",Online Report,2023-01-05 12:30:00,Medium,32.881168,-117.2343605
01-07-2023,01-07-2023,6:08 PM ‐ 7:42 PM,Petty Theft,La Jolla Del Sol Apartments,2023‐0015,"Secured bicycle stolen from bike rack, loss $300.00",Report Taken,2023-01-07 19:42:00,Medium,32.8655512,-117.2230338
01-08-2023,01-08-2023,4:25 AM,Petty Theft ‐ Bicycle,Gilman Dr,T23000004,"Secured bicycle stolen, loss $500.00",Online Report,2023-01-08 04:25:00,Medium,32.8648237,-117.2364128
01-08-2023,12/08/2022 ‐ 1/7/2023,8:00 PM ‐ 8:00 PM,Petty Theft ‐ Bicycle,Middle Earth Hall,T23000005,"Secured bicycle stolen, loss $600.00",Online Report,2023-01-07 20:00:00,Expensive,,
01-09-2023,01-09-2023,9:10 AM,Petty Theft ‐ Bicycle,Miramar St,2023‐0025,"Secured bicycle stolen, loss $785.00",Online Report,2023-01-09 09:10:00,Expensive,32.8735076,-117.2238704
01-09-2023,12/11/2022 ‐ 1/7/2023,9:20 AM ‐ 11:00 PM,Petty Theft ‐ Bicycle,Gilman Dr,T23000007,"Secured bicycle stolen, loss $750.00",Online Report,2023-01-07 23:00:00,Expensive,32.8648237,-117.2364128
01-09-2023,12/7/2022 ‐ 1/7/2023,7:00 PM ‐ 7:00 AM,Petty Theft ‐ Bicycle,Gilman Dr,2022‐0026,"Secured bicycle stolen, loss $500.00",Online Report,2023-01-07 19:00:00,Medium,32.8648237,-117.2364128
01-09-2023,12/11/2022 ‐ 1/9/2023,12:00 AM ‐ 3:00 PM,Petty Theft ‐ Bicycle,Scholars Dr North,2022‐0029,"Secured bicycle stolen, loss $760.00",Online Report,2023-01-09 15:00:00,Expensive,32.8842874,-117.2424066
01-10-2023,12/15/2022 ‐ 1/8/2022,7:30 PM ‐ 9:30 PM,Petty Theft ‐ Bicycle,Asia Hall,2023‐0033,"Bicycle stolen, loss $309.00",Online Report,2022-12-15 21:30:00,Medium,32.8858003,-117.2434846
01-10-2023,1/9/2023 ‐ 1/10/2023,10:00 PM ‐ 12:00 AM,Grand Theft ‐ Bicycle,Sixth College,2023‐0034,"Secured bicycle stolen, loss $1,399.00",Online Report,2023-01-10 22:00:00,Medium,32.8807011,-117.2420455
01-10-2023,01-10-2023,8:26 PM,Petty Theft,RIMAC,2301100070,"Stolen scooter, reporting party wants contact in person",Service Provided,2023-01-10 20:26:00,Medium,32.8851041,-117.2404977
01-12-2023,01-12-2023,9:30 AM ‐ 10:50 AM,Petty Theft of Micro Mobility Device,Library Walk,2023‐0043,"Secured electric scooter stolen, loss $800.00",Online Report,2023-01-12 10:50:00,Expensive,32.8787741,-117.2375612
01-12-2023,01-12-2023,2:12 PM,Petty Theft of Micro Mobility Device,Center Hall,2023‐0040,"Secured electric scooter stolen, loss $450.00",Report Taken,2023-01-12 14:12:00,Medium,32.8775468,-117.2374084
1/13/2023,01-12-2023,9:30 am ‐ 10:50 am,Petty Theft ‐ Micro Mobility Device,Center Hall,2023‐0043,"Secured electric Scooter, loss $800.00",Report Taken,2023-01-12 10:50:00,Expensive,32.8775468,-117.2374084
1/13/2023,1/13/2023,9:00 pm ‐ 11:30 pm,Petty Theft ‐ Micro Mobility Device,Blacks Beach Gate,2023‐0049,"Secured electric scooter, loss $500.00",Report Taken,2023-01-13 23:30:00,Medium,32.8906575,-117.2534656
1/15/2023,1/15/2023,1:00 pm ‐ 4:30 pm,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2023‐0055,"Secured Electric Scooter, loss $400.00",Report Taken,2023-01-15 16:30:00,Medium,32.878353,-117.231842
1/16/2023,1/15/2023,11:00 AM ‐ 1:30 PM,Petty Theft of Micro Mobility Device,Canyon Vista,2023‐0059,"Secured electric scooter stolen, loss $800.00",Report Taken,2023-01-15 13:30:00,Expensive,,
1/17/2023,1/17/2023,8:00 am ‐ 12:00 pm,Petty Theft,Main Gymnasium,2023‐0068,"Unknown suspect(s) stolen victim's bicycle seat, loss $40.00",Report Taken,2023-01-17 12:00:00,Low,32.8771494,-117.2412479
1/23/2023,1/23/2023,12:30 pm ‐ 3:35 pm,Petty Theft ‐ Micro Mobility Device,EBU 2,2023‐0105,"Secured electric scooter, loss $800.00",Report Taken,2023-01-23 15:35:00,Expensive,32.8811569,-117.2330257
1/24/2023,12/2/2022 ‐ 12/2/2022,4:20 pm ‐ 7:41 pm,Grand Theft ‐ Micro Mobility Device,Campus Point Dr,T23000024,"Unsecured electric bike, loss $1,800.00",Online Report,2022-12-02 19:41:00,Medium,32.8859811,-117.221339
1/24/2023,12/10/2022 ‐ 12/11/2022,6:44 am ‐ 1:44 am,Grand Theft ‐ Micro Mobility Device,Voigt Dr,T230000027,"Unsecured electric bike, loss $1,800.00",Online Report,2022-12-11 06:44:00,Medium,32.8811362,-117.2295642
1/24/2023,12/8/2022 ‐ 12/18/2022,9:59 am ‐ 3:00 am,Grand Theft ‐ Micro Mobility Device,Hopkins Dr,T230000026,"Unsecured electric bike, loss $1,800.00",Online Report,2022-12-18 09:59:00,Medium,32.8862472,-117.2386908
1/25/2023,1/23/2023 ‐ 1/24/2023,8:00 pm ‐ 2:00 am,Petty Theft ‐ Micro Mobility Device,Geisel Library,2023‐0120,"Secured electric scooter, loss $799.00",Report Taken,2023-01-24 20:00:00,Expensive,32.881092,-117.2375659
1/25/2023,12/28/2022 ‐ 1/5/2023,3:40 am ‐ 7:16 am,Grand Theft ‐ Micro Mobility Device,3991 Health Sciences Dr,2023‐0135,"Unsecured electric scooter Loss $1,800.00",Online Report,2023-01-05 07:16:00,Medium,32.8801142,-117.2201149
