Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition
2/14/2022,2/14/2022,5:25 pm ‐ 5:30 pm,Petty Theft ‐ Micro Mobility Device,Price Center West,2022‐0292,Electric Scooter; Loss $900.00,Report Taken
2/15/2022,2/15/2022,8:50 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2202150053,Reporting party observed adult male use unknown tool to steal electric scooter,Information Only
2/16/2022,2/16/2022,12:00 AM ‐ 4:00 AM,Petty Theft ‐ Micro Mobility Device,SERF Bldg Bike Rack,T22000080,"Electric Scooter, Loss $800.00",Online Report
2/16/2022,2/15/2022 ‐ 2/16/2022,10:10 PM ‐ 11:10 AM,Grand Theft ‐ Micro Mobility Device,Sixth Residence Hall,T22000081,"Electric bike, Loss $1,500.00",Online Report
2/16/2022,2/13/2022 ‐ 2/14/2022,10:00 PM ‐ 3:00 AM,Petty Theft ‐ Micro Mobility Device,Library Walk ‐ Geisel Bike Rack,2022‐0306,"Electric Scooter, Loss $800.00",Report Taken
2/16/2022,2/16/2022,3:00 pm ‐ 4:40 pm,Petty Theft ‐ Micro Mobility Device,Engineering Bldg 2,T22000082,"Electric scooter, Loss $600.00",Online Report
2/17/2022,2/17/2022,5:55 PM,Grand Theft ‐ Micro Mobility Device / Battery,Warren Lecture Hall,2022‐0316,Reporting party confronted suspect stealing a bicycle and got into a physical confrontation,Report Taken
2/17/2022,2/17/2022,2:00 PM ‐ 8:30 PM,Grand Theft ‐ Micro Mobility Device / Battery,Structural and Material Engineering Bldg,2022‐0317,"Electric bicycle, Loss $3,739.00",Report Taken
2/17/2022,2/17/2022,10:13 PM,Petty Theft,Galbraith Hall,2202170072,Reporting party observed male subject cutting bike locks outside building,Gone On Arrival
2/17/2022,2/17/2022,5:00 PM ‐ 7:36 PM,Petty Theft ‐ Micro Mobility Device,EBU1,2022‐0319,"Electric scooter, Loss $200.00",Report Taken
2/18/2022,2/18/2022,10:53 AM,Theft of Micro mobility Device,64 Degrees,2022‐0328,"Stolen electric scooter, loss $600.00",Report Taken
2/18/2022,2/18/2022,3:45 PM,Petty Theft Of Micro Mobility,Marshall Upper Apartments,2022‐0333,"Stolen electric scooter, loss $400.00",Report Taken
2/18/2022,2/18/2022,10:53 AM,Theft of Micro mobility Device,64 Degrees,2202180029,"Stolen electric scooter, loss $600.00",Report Taken
2/23/2022,2/23/2022,7:02 PM,Attempted Grand Theft ‐ Bicycle / Felony Warrant Arrest,Trolley ‐ UCSD Health (Voigt),2022‐0369,Original call for male seen cutting bike lock,Closed By Adult Arrest
2/24/2022,2/24/2022,12:00 AM ‐ 2:30 AM,Petty Theft of Micro Mobility Device,9192 Regents Rd,T22000092,"Stolen electric scooter, loss $600.00",Online Report
2/24/2022,2/24/2022,8:24 PM,Petty Theft of Micro Mobility Device,Lot 506,2022‐0378,"Stolen electric scooter, loss $369.00",Report Taken
2/25/2022,2/25/2022,7:45 PM ‐ 9:00 PM,Grand Theft ‐ Micro Mobility Device,Price Center East,2022‐0386,"Electric scooter, Loss $1,000",Report Taken
2/28/2022,2/27/2022 ‐ 2/28/2022,5:00 pm ‐ 11:30 am,Petty Theft ‐ Micro Mobility Device,Marshall Field East Side,2022‐0399,"Electric scooter, Loss $600.00",Report Taken
2/28/2022,2/28/2022,2:00 PM ‐ 7:00 PM,Petty Theft ‐ Micro Mobility Device,Seventh College West #8,2022‐0404,"Electric scooter, Loss $800.00",Report Taken
3/1/2022,2/28/2022,6:30 pm ‐ 7:50 pm,Petty Theft ‐ Micro Mobility Device,Warren Hall Bike Rack,T22000101,"Electric Scooter, loss $827.52",Online Report
3/1/2022,3/1/2022,12:00 PM ‐ 2:30 PM,Petty Theft,Natural Sciences Bldg,2022‐0408,"Unknown suspect(s) stole an unattended skateboard, $350.00",Report Taken
3/2/2022,3/2/2022,8:00 PM ‐ 11:30 PM,Petty Theft ‐ Micro Mobility Device,Burning Man,2022‐0430,"Electric Bike, Loss $450.00",Report Taken
3/3/2022,2/24/2022 ‐ 3/2/2022,3:00 pm ‐ 2:30 pm,Grand Theft ‐ Micro Mobility Device,Geneva Hall East,2022‐0433,"Electric bike, Loss $2,000.00",Report Taken
3/3/2022,3/3/2022,6:30 PM ‐ 7:35 PM,Petty Theft Micro Mobility Device,Geisel Library,2022‐0434,"Electric bike, Loss $600.00",Report Taken
3/4/2022,3/1/2022 ‐ 3/3/2022,6:00 PM ‐ 6:00 PM,Petty Theft of Micro Mobility Device,Otterson Hall,2022‐0439,"Stolen electric scooter, loss $400.00",Report Taken
3/7/2022,3/2/2022 ‐ 3/6/2022,7:30 PM ‐ 9:00 AM,Petty Theft,Conrad Prebys Music Center,2022‐0448,"License plate stolen from scooter, $20.00",Report Taken
3/7/2022,3/7/2022,7:14 PM,Petty Theft,Library Walk,2203070057,Reporting party witnessed electric scooter theft by unknown male,Unable to Locate
3/7/2022,3/7/2022,7:27 PM,Petty Theft,Geisel Library,2203070059,Reporting party witnessed scooter theft by unknown male,Unable to Locate
3/8/2022,3/8/2022,6:25 PM ‐ 7:43 PM,Grand Theft of Micro Mobility Device,Warren Lecture Hall,2022‐0457,"Stolen electric scooter, loss $1,237.00",Report Taken
3/11/2022,3/11/2022,8:00 PM ‐ 10:50 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,T22000114,"Electric scooter, Loss $300.00",Online Report
3/13/2022,3/11/2022,8:05 PM ‐ 10:05 PM,Petty Theft ‐ Micro Mobility Device,Library Walk ‐ The Trove,T22000118,"Unknown suspect cut bike lock and stole electric scooter, loss $330.00",Online Report
3/14/2022,3/13/2022 ‐ 3/14/2022,11:00 PM ‐ 4:20 PM,Petty Theft ‐ Micro Mobility Device,NTPLL ‐ Tapestry,2022‐0493,"Electric scooter, loss $800.00",Report Taken
3/29/2022,3/29/2022,10:12 PM,Report Of Petty Theft,Design & Innovation Bldg,2203290067,Report of bike taken from bike rack,Unable To Locate
3/30/2022,3/30/2022,3:00 pm ‐ 3:50 pm,Petty Theft ‐ Micro Mobility Device,North Center Hall Bike Rack,2022‐0570,"Electric scooter, loss $500.00",Report Taken
4/3/2022,4/2/2022,12:35 PM ‐ 2:35 PM,Petty Theft of Micro Mobility Device,Price Center,T22000134,"Electric Scooter, loss $649.99",Online Report
4/3/2022,4/2/2022 ‐ 4/3/2022,7:30 AM ‐ 7:10 PM,Petty Theft of Micro Mobility Device,Price Center,T22000135,"Electric scooter, $403.99",Online Report
4/10/2022,4/10/2022,6:48 PM,Petty Theft,One Miramar Parking Structure,2204100038,Subject using power tools on a bike,Unable to Locate
4/12/2022,4/12/2022,9:30 am ‐ 10:30 am,Petty Theft,Warren Lecture Hall,T22000146,"Scooter, Loss $300.00",Online Report
4/15/2022,4/13/2022,9:00 AM ‐ 5:00 PM,Outside Agency Courtesy Report ‐ Petty Theft,UCSD Hillcrest Medical Offices South,2022‐0667,"Stolen bicycle, loss $650.00",Online Report
4/17/2022,4/17/2022,9:49 PM,Petty Theft,Tenaya Hall,2204170051,Reporting party saw unknown male take bike from area,Field Interview
4/19/2022,4/19/2022,12:30 PM ‐ 1:00 PM,Petty Theft of Micro Mobility Device,Center Hall,2022‐0689,"Stolen electric scooter, loss $550.00",Online Report
4/21/2022,4/20/2022 ‐ 4/21/2022,11:30 PM ‐ 12:30 AM,Petty Theft of Micro Mobility Device,Stewart Hall,2022‐0704,"Stolen electric bicycle, loss $300.00",Report Taken
4/25/2022,4/25/2022,7:35 pm ‐ 10:09 pm,Report Of Petty Theft,RIMAC,2204250047,"Reporting party's scooter stolen, requesting contact from officer via telephone",Service Provided
4/25/2022,4/25/2022,7:35 pm ‐ 9:40 pm,Petty Theft ‐ Micro Mobility Device,RIMAC ‐ Bike Rack,T22000159,"Electric scooter, Loss $850.00",Online Report
4/28/2022,4/28/2022,11:30 am ‐ 1:00 pm,Petty Theft ‐ Micro Mobility Device,Design And Innovation Bldg,2022‐0747,"Electric scooter, Loss $750.00",Report Taken
5/2/2022,5/2/2022,5:00 PM ‐ 5:15,Petty Theft of Micro Mobility Device,Price Center,2022‐0781,"Stolen electric scooter, loss $299.00",Report Taken
5/2/2022,5/2/2022,4:00 PM ‐ 5:30 PM,Grand Theft of Micro Mobility Device,Warren College,2022‐0783,"Stolen electric scooter, loss $989.00",Online Report
5/3/2022,5/3/2022,12:50 PM ‐ 2:00 PM,Petty Theft of Micro Mobility Device,UCSD Police Department,2022‐0785,"Stolen electric scooter, loss $400.00",Report Taken
5/9/2022,5/7/2022 ‐ 5/9/2022,9:35 am ‐ 7:35 am,Petty Theft ‐ Micro Mobility Device,Hopkins Parking Structure,T22000164,"Electric scooter, loss $850.00",Online Report
5/9/2022,5/9/2022,10:35 am ‐ 3:55 pm,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus,T22000165,"Electric bicycle, Loss $390.00",Online Report
5/9/2022,5/9/2022,8:36 PM,Petty Theft ‐ Micro Mobility Device,Gilman Dr / Myers Dr,2022‐0824,Reporting party observed suspect remove electric scooter from bike rack,Cleared by Adult Arrest
5/11/2022,5/11/2022,9:00 am ‐ 9:30 am,Petty Theft ‐ Micro Mobility Device,Ledden Auditorium,T22000166,"Electric scooter, Loss $350.00",Online Report
5/12/2022,5/12/2022,8:00 am ‐ 2:00 pm,Petty Theft ‐ Micro Mobility Device,Biomedical Sciences Wy,2022‐0837,"Electric scooter, loss $400.00",Report Taken
5/13/2022,5/12/2022 ‐ 5/13/2022,6:00 PM ‐ 2:10 AM,Grand Theft of Micro mobility Device,Price Center,2022‐0840,"Stolen electric scooter, loss $800.00",Report Taken
5/13/2022,5/13/2022,10:36 AM,Petty Theft,Beagle Hall,2205130023,Electric bicycle taken from suite,Information Only
5/14/2022,5/13/2022 ‐ 5/14/2022,5:30 pm ‐ 2:00 am,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus,2022‐0845,"Electric skateboard, loss unknown at this time",Disposition Report Taken
5/14/2022,5/13/2022 ‐ 5/14/2022,5:30 pm ‐ 2:00 am,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus,2022‐0846,"Electric scooter, loss unknown at this time",Report Taken
5/15/2022,5/15/2022,2:14 PM,Petty Theft of Micro Mobility Device,Camp Snoopy Residential Hall,2022‐0855,"Stolen electric scooter, loss $700.00",Report Taken
5/16/2022,5/12/2022,8:00 AM ‐ 1:00 PM,Petty Theft of Micro Mobility Device,Osler Ln,2022‐0859,"Stolen electric scooter, loss $560.00",Report Taken
5/19/2022,5/12/2022 ‐ 5/13/2022,7:20 PM ‐ 11:40 PM,Petty Theft of Micro Mobility Device,UCSD Residence Hall,T22000181,Stolen electric scooter,Online Report
5/20/2022,5/19/2022,3:00 pm ‐ 9:50 pm,Petty Theft ‐ Micro Mobility Device,Warren Commuter Lounge,2022‐0890,"Electric scooter, loss $500.00",Online Report
5/20/2022,5/20/2022,12:39 PM,Petty Theft ‐ Bicycle,Structural Engineering Bldg,2205200040,Unknown suspect attempting to steal bicycle from bike rack,Service Provided
5/20/2022,5/20/2022,9:30 am ‐ 4:30 pm,Petty Theft ‐ Micro Mobility Device,Science And Engineering Bldg,2022‐0892,"Electric bicycle, loss $700.00",Report Taken
5/20/2022,5/20/2022,6:30 pm ‐ 9:00 pm,Petty Theft ‐ Micro Mobility Device,West of The Trove Bldg,2022‐0894,"Electric scooter, loss $850.00",Report Taken
5/22/2022,5/21/2022 ‐ 5/22/2022,7:30 pm ‐ 6:50 am,Petty Theft ‐ Micro Mobility Device,CSE Bldg,2022‐0903,"Electric scooter, Loss $300.00",Online Report
5/23/2022,5/23/2022,8:00 pm ‐ 9:30 pm,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Stop,2022‐0909,"Electric scooter, Loss $300.00",Report Taken
5/24/2022,5/24/2022,11:34 AM,Petty Theft,EBU2,2205240029,Unknown male took bike tire,Unable To Locate
5/26/2022,5/26/2022,4:00 pm ‐ 11:00 pm,Petty Theft ‐ Micro Mobility Device,Lot 309,2022‐0937,"Electric scooter, loss $279.00",Report Taken
5/28/2022,5/28/2022,5:30 AM,Attempted Petty Theft ‐ Bicycle,Discovery Hall,2022‐0944,"Unknown suspect attempted to remove victim's secured bicycle, but left scene when interrupted by witness",Report Taken
5/30/2022,5/29/2022,8:00 AM ‐ 12:00 PM,Petty Theft of Micro Mobility Device,Target,2022‐0950,"Stolen electric scooter, loss $659.99",Online Report
6/2/2022,6/2/2022,7:00 PM ‐ 7:57 PM,Grand Theft of Micro Mobility Report,Biomedical Research Facility,2022‐0971,"Stolen electric bicycle, loss $1,600.00",Report Taken
6/4/2022,5/26/2022,3:00 PM ‐ 6:00 PM,Petty Theft of Micro Mobility Device,Trolley‐ Central Campus Stop,2022‐0981,"Stolen electric scooter, loss $538.00",Report Taken
6/5/2022,6/5/2022,3:34 PM,Petty Theft of Micro Mobility Device,Price Center,2206050039,"Stolen electric scooter, loss $900.00",Report Taken
6/5/2022,6/5/2022,9:21 PM,Petty Theft,Trolley ‐ Central Campus Stop,2206050070,Subject attempting to cut bike locks,Unable to Locate
6/5/2022,6/5/2022,11:10 PM,Petty Theft,Main Gym,2206050074,Two males seen cutting lock on bicycle,Unable to Locate
6/6/2022,6/6/2022,1:30 am ‐ 5:30 am,Petty Theft ‐ Micro Mobility Device,NTPLL ‐ Scholars Parking,2022‐0990,"Electric scooter, loss $700.00",Report Taken
6/6/2022,6/6/2022,5:30 pm ‐ 10:30 pm,Petty Theft ‐ Micro Mobility Device,Price Center East,2022‐0998,"Electric scooter, loss $350.00",Report Taken
6/9/2022,6/8/2022,4:00 am ‐ 1:00 pm,Petty Theft ‐ Micro Mobility Device,Geisel Library,2022‐1016,"Electric scooter, loss $800.00",Online Report
6/10/2022,6/10/2022,6:35 PM,Petty Theft of Micro Mobility Device,Warren Apartments,2022‐1023,"Stolen electric scooter, loss $529.98",Report Taken
6/16/2022,6/16/2022,4:20 PM ‐ 4:43 PM,Grand Theft of Micro Mobility Device,One Miramar Street,2022‐1063,"Stolen electric skateboard, loss $1,500.00",Report Taken
6/21/2022,6/21/2022,8:57 AM,Petty Theft,Trolley ‐ Central Campus Stop,2206210024,Reporting party observed male steal tire from bicycle,Gone On Arrival
6/21/2022,6/21/2022,10:25 AM,Petty Theft,Canyon View Aquatic & Climbing Wall Facility,2206210035,Reporting party observed male steal basket from bike and place it on his bike,Gone On Arrival
6/22/2022,6/22/2022,7:30 pm ‐ 9:00 pm,Petty Theft ‐ Micro Mobility Device,RIMAC Bike Racks,T22000201,"Electric scooter, Loss $699.00",Online Report
6/27/2022,6/25/2022 ‐ 6/27/2022,9:30 PM ‐ 7:50 AM,Petty Theft of Micro Mobility Device,7th College,2022‐1126,"Unknown suspect(s) took victim's electric scooter from bike rack, loss $350.00",Report Taken
6/27/2022,6/20/2022 ‐ 6/27/2022,11:00 AM‐12:00 PM,Grand Theft of Micro Mobility Device,Europe & Asia Hall Bike Rack,2022‐1129,"Stolen electric bicycle, loss $1500.00",Report Taken
6/29/2022,6/29/2022,3:10 PM ‐ 5:00 PM,Petty Theft of Micro Mobility Device,EDU II & Literature Building,2022‐1141,"Stolen electric bicycle, loss $399.00",Service Provided
7/7/2022,7/7/2022,9:30 AM ‐ 11:00 AM,Petty Theft of Micro Mobility Device,Central Hall,T22000209,"Stolen electric scooter, loss $700.00",Online Report
7/8/2022,7/8/2022,9:002 am ‐ 11:00 am,Petty Theft ‐ Micro Mobility Device,Structural & Material Engineering Bldg,2022‐1180,"Electric scooter, loss $700.00",Report Taken
7/11/2022,7/11/2022,1:28 PM,Petty Theft,NTPLL ‐ Mosaic,2207110027,Reporting party called to report missing bicycle,Gone On Arrival
7/13/2022,7/13/2022,5:58 PM,Petty Theft ‐ Micro Mobility Device,Biomedical Research Facility II,2207130033,"Electric scooter, loss $400.00",Report Taken
7/14/2022,7/13/2022 ‐ 7/14/2022,10:00 pm ‐ 10:00 am,Petty Theft ‐ Bicycle Part,Gilman Dr / Myers Bike Rack,2022‐1199,"Unknown suspect(s) stole front tire from victim's bicycle, loss $100.00",Online Report
7/18/2022,7/18/2022,7:00 AM ‐ 11:00 AM,Grand Theft of Micro Mobility Device,Molli and Arthur Wagner Dance Building,2022‐1205,"Stolen electric bicycle, loss $1,200.00",Report Taken
7/21/2022,7/20/2022 ‐ 7/21/2022,8:46 AM,Petty Theft of Micro Mobility Device,Central Mesa Apartments,2022‐1216,"Stolen electric scooter and electric bicycle, loss $2,300.00",Report Taken
7/21/2022,7/21/2022,9:34 PM,Petty Theft of Micro Mobility Device,Warren Lecture Hall,2022‐1219,"Stolen electric scooter, loss $200.00",Report Taken
7/23/2022,7/22/2022 ‐ 7/23/2022,12:45 PM,Petty Theft,Seventh College,2022‐1225,"Unknown suspect(S) removed the victim's bicycle seat, loss $60.00",Report Taken
7/24/2022,7/22/2022 ‐ 7/24/2022,10:00 am ‐ 1:00 am,Grand Theft ‐ Micro Mobility Device,Tuolumne Apts ‐ S House North,2022‐1228,"Electric bike, Loss $1,500.00",Disposition Report Taken
7/24/2022,7/24/2022,5:36 PM,Petty Theft,Geisel Library,2207240036,Reporting party observed unknown male attempting to cut lock off scooter,Unable To Locate
7/26/2022,7/26/2022,Unknown,Petty Theft ‐ Bicycle,Warren Apts ‐ Goldberg,2207260061,Via 911; reporting party advised on options to report bike theft,Logged Event
7/28/2022,7/28/2022,3:00 pm ‐ 5:00 pm,Petty Theft,Geisel Library ‐ Bike Rack,T22000220,"Unknown suspect(s) stole victim's bike helmet, loss $150.00",Online Report
7/28/2022,7/28/2022,5:00 pm ‐ 7:00 pm,Petty Theft ‐ Micro Mobility Device,Center Hall ‐ Bike Rack,T22000221,"Electric scooter, loss $250.00",Online Report
7/30/2022,7/30/2022,2:13 PM,Petty Theft ‐ Bicycle,South Mesa Apts,2207300024,"Unknown suspect(s) stole victim's bike, will file online police report at later time",Information Only
7/30/2022,7/30/2022,11:10 am ‐ 4:00 pm,Petty Theft ‐ Micro Mobility Device,UCSD Book Store,2022‐1258,"Electric scooter, loss $700.00",Report Taken
8/2/2022,8/2/2022,10:45 AM ‐ 1:50 PM,Petty Theft ‐ Bicycle,Warren Mall,2022‐1275,"Secured bicycle stolen, loss $800.00",Report Taken
8/5/2022,8/5/2022,10:38 AM,Grand Theft ‐ Bicycle,Seventh College West,2022‐1286,"Secured bicycle stolen, loss $1,000.00",Report Taken
8/6/2022,8/5/2022 ‐ 8/6/2022,8:30 PM ‐ 6:30 PM,Petty Theft ‐ Bicycle,Mesa Nueva Arena ‐ 2nd Floor Bike Rack,2022‐1296,"Secured bicycle stolen, loss $650.00",Online Report
8/7/2022,8/7/2022,8:05 PM,Petty Theft ‐ Bicycle,Central Mesa Apts ‐ Bike Rack,2208070054,"Unknown suspect(s) stole victim's locked bike, loss $400.00, no report desired",Information Only
8/9/2022,8/8/2022 ‐ 8/9/2022,11:30 am ‐ 10:30 am,Petty Theft,South Mesa Apts ‐ Bike Rack,2022‐1308,"Unknown suspect(s) stole victim's bag off bike, loss $106.00",Online Report
8/9/2022,8/9/2022,6:30 pm ‐ 8:00 pm,Petty Theft,Trolley ‐ Central Campus Stop,2022‐1309,"Via 911, caller reporting stolen bike, referred to non‐emergency number",Report Taken
8/11/2022,8/11/2022,5:10 am ‐ 6:30 am,Petty Theft ‐ Micro Mobility Device,Pangea Parking Structure,2022‐1316,"Electric bicycle, loss $549.00",Report Taken
8/11/2022,8/10/2022 ‐ 8/11/2022,6:00 pm ‐ 6:30 am,Petty Theft ‐ Micro Mobility Device,UC San Diego Bookstore,2022‐1321,"Electric scooter, loss $868.98",Online Report
8/15/2022,8/15/2022,12:30 PM ‐ 2:00 PM,Petty Theft of Micro Mobility Device,Regents Rd,T22000230,"Stolen electric scooter, loss $500.00",Online Report
8/15/2022,8/15/2022,12:25 PM ‐ 1:50 PM,Petty Theft of Micro Mobility Device,UCSD Police Department,2022‐1337,"Stolen electric scooter, loss $600.00",Report Taken
8/16/2022,8/14/2022 ‐ 8/16/2022,5:00 PM ‐ 5:00 PM,Petty Theft ‐ Bicycle,Regents Road,T22000231,"Secured bicycle stolen, loss $900.00",Online Report
8/19/2022,8/19/2022,6:00 am ‐ 7:30 am,Grand Theft ‐ Micro Mobility Device,Café Ventanas Loading Dock,2022‐1357,"Electric Bicycle, Loss $2,000.00",Report Taken
8/20/2022,8/20/2022,4:49 PM,Grand Theft of Micro Mobility Device,Biomedical Sciences Building,2022‐1362,"Electric bicycle stolen, loss $2,349.00",Report Taken
8/23/2022,8/23/2022,7:30 am ‐ 5:20 pm,Grand Theft ‐ Micro Mobility Device,Stein Clinical Research Bldg,2022‐1384,"Electric bicycle, Loss $1,500.00",Report Taken
8/25/2022,8/25/2022,9:30 am ‐ 1:45 pm,Grand Theft ‐ Micro Mobility Device,Sequoyah Hall,2022‐1396,"Electric bicycle, loss $1,200.00",Report Taken
8/25/2022,8/22/2022,1:10 PM,Petty Theft ‐ Micro Mobility Device,South Side of Price Center,2022‐1395,"Electric bicycle, loss $350.00",Online Report
8/25/2022,8/25/2022,2:00 pm ‐ 5:00 pm,Petty Theft ‐ Micro Mobility Device,Rec Gym ‐ Bike Rack,T22000237,"Electric Scooter, loss $500.00",Online Report
8/26/2022,8/24/2022 ‐ 8/26/2022,1:10 PM ‐ 1:10 PM,Petty Theft ‐ Bicycle,Nuevo East,2022‐1409,"Stolen secured bicycle, loss $400.00",Online Report
8/26/2022,8/26/2022,6:29 PM,Petty Theft,EBU1,2208260060,Subject attempted to steal scooter,Unable to Locate
8/27/2022,8/27/2022,1:00 am ‐ 9:00 am,Grand Theft ‐ Micro Mobility Device,South Mesa Apts,2022‐1402,"Electric bicycle, loss $1,200.00",Report Taken
8/28/2022,8/28/2022,7:00 AM ‐ 10:30 AM,Petty Theft of Micro Mobility Device,Lecture Hall,2022‐1411,"Stolen secured electric scooter, loss 700.00",Report Taken
8/28/2022,8/28/2022,6:25 PM,Petty Theft ‐ Bicycle,One Miramar Street,2022‐1413,"Stolen unsecured bicycle, loss $400.00",Stay Away Order
9/6/2022,6/30/2022,8:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1463,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1467,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1466,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1465,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1469,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1468,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/25/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1471,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1470,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,7/1/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1464,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1461,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1462,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,9/6/2022,9:07 PM,Petty Theft,Mesa Nueva ‐ Arena,2209060065,Reporting party hears grinder cutting at bike racks,Unfounded
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1467,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1466,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1465,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1469,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1468,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1471,"Electric scooter, loss $1,004.00",Report Taken
9/6/2022,6/30/2022,9:00 PM,Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,2022‐1470,"Electric scooter, loss $1,004.00",Report Taken
9/12/2022,9/1/2022 ‐ 9/12/2022,5:30 AM ‐ 8:50 PM,Petty Theft ‐ Bicycle,Europe Hall / Asia Hall,T22000247,"Secured bicycle stolen, loss $350.00",Online Report
9/15/2022,9/14/2022 ‐ 9/15/2022,6:40 AM ‐ 8:00 AM,Petty Theft ‐ Bicycle,Matthews Apartments,T22000248,"Secure bicycle stolen, loss $300.00",Online Report
9/16/2022,9/16/2022,11:42 am ‐ 12:23 pm,Petty Theft,Warren Apts ‐ Douglas Hall,2022‐1520,Report of non‐affiliated male attempting to steal bicycle,Stay Away Order Issued
9/17/2022,9/17/2022,12:04 PM,Grand Theft ‐ Bicycle,Tioga Hall,2022‐1524,"Secured bicycle stolen, loss $1,242.00",Report Taken
9/17/2022,9/17/2022,1:06 PM,Grand Theft ‐ Bicycle,Trolley ‐ Central Campus Stop,2022‐1526,"Unsecured bicycle stolen, loss $1,200.00",Report Taken
9/17/2022,9/15/2022 ‐9/17/2022,9:00 PM ‐ 5:00 PM,Petty Theft ‐ Bicycle,Scholars Dr North,2022‐1527,"Secured bicycle stolen, loss $220.00",Report Taken
9/17/2022,9/17/2022,7:13 PM,Petty Theft of Micro Mobility Device,RIMAC,2022‐1528,"Stolen electric scooter, loss $558.00",Report Taken
9/19/2022,9/18/2022 ‐ 9/19/2022,10:30 pm ‐ 11:00 am,Petty Theft ‐ Micro Mobility Device,Marshall Upper Apts M,2022‐1543,"Electric scooter, loss $430.00",Report Taken
9/20/2022,9/20/2022,5:26 PM,Petty Theft,Pepper Canyon Apts,2209200081,Male attempting to brake bike lock with rocks,Gone On Arrival
9/22/2022,9/21/2022,3:00 pm ‐ 10:30 pm,Petty Theft ‐ Micro Mobility Device,7th College West Bldg 3,2022‐1573,"Electric scooter, loss $799.00",Online Report
9/22/2022,9/22/2022,6:30 pm ‐ 7:30 pm,Grand Theft ‐ Micro Mobility Device,Center Hall,2022‐1573,"Electric bicycle, loss $1,500.00",Report Taken
9/23/2022,9/22/2022 ‐ 9/23/2022,6:00 PM ‐ 6:00 AM,Theft ‐ Bicycle,Village East Building,2022‐1585,"Secured bicycle stolen, loss $200.00",Online Report
9/24/2022,9/24/2022,2:00 AM ‐ 12:00 PM,Petty Theft ‐ Bicycle,Galathea Bike,2022‐1604,"Secured bicycle stolen, loss $627.00",Online Report
9/26/2022,9/26/2022,12:03 AM,Petty Theft,Trolley ‐ Central Campus Stop,2022‐1612,Report of male seen riding bicycle while holding an electric scooter,Citation Issued
